word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
ambiguity,2010s,737,213,15,1678,14295950,3847,1220,69,8647,84731684
american,1980s,242,163,0,584,3177602,6282,2215,74,6430,46072214
american,1990s,323,200,2,643,4529684,6344,2134,110,6242,52955592
american,2000s,554,273,7,868,7141270,6592,2309,109,7266,67070891
american,2010s,942,526,7,1678,14295950,8106,3112,105,8647,84731684
among,1980s,932,325,11,584,3177602,14435,4102,238,6430,46072214
among,1990s,1451,431,21,643,4529684,16279,4226,343,6242,52955592
among,2000s,1988,565,34,868,7141270,19239,4945,388,7266,67070891
among,2010s,3788,1107,63,1678,14295950,22753,5975,426,8647,84731684
amount,1980s,289,148,3,584,3177602,3920,1955,32,6430,46072214
amount,1990s,418,207,3,643,4529684,4909,2205,48,6242,52955592
amount,2000s,733,351,7,868,7141270,6150,2795,55,7266,67070891
amount,2010s,1521,718,11,1678,14295950,9262,3648,102,8647,84731684
amounts,1980s,172,119,0,584,3177602,2549,1599,3,6430,46072214
amounts,1990s,282,172,0,643,4529684,2965,1730,4,6242,52955592
amounts,2000s,474,255,2,868,7141270,3918,2247,5,7266,67070891
amounts,2010s,953,536,2,1678,14295950,5424,2883,20,8647,84731684
analogous,1980s,282,156,2,584,3177602,3577,1909,9,6430,46072214
analogous,1990s,404,210,1,643,4529684,3962,2011,12,6242,52955592
analogous,2000s,600,311,1,868,7141270,4994,2566,16,7266,67070891
analogous,2010s,1346,627,11,1678,14295950,6895,3134,41,8647,84731684
analogy,1980s,389,119,6,584,3177602,4175,1659,43,6430,46072214
analogy,1990s,399,182,4,643,4529684,4755,1744,56,6242,52955592
analogy,2000s,650,246,12,868,7141270,5324,2031,58,7266,67070891
analogy,2010s,1292,479,15,1678,14295950,6909,2573,91,8647,84731684
analyses,1980s,217,88,2,584,3177602,2331,988,26,6430,46072214
analyses,1990s,308,101,5,643,4529684,2769,1082,33,6242,52955592
analyses,2000s,427,143,7,868,7141270,3256,1222,56,7266,67070891
analyses,2010s,805,289,9,1678,14295950,4409,1584,69,8647,84731684
analysis,1980s,1836,358,52,584,3177602,26172,4379,698,6430,46072214
analysis,1990s,2537,401,64,643,4529684,26701,4310,703,6242,52955592
analysis,2000s,3822,595,96,868,7141270,33552,5219,827,7266,67070891
analysis,2010s,6103,1148,133,1678,14295950,38069,6270,910,8647,84731684
analytic,1980s,210,76,3,584,3177602,3295,938,59,6430,46072214
analytic,1990s,502,114,11,643,4529684,4143,997,89,6242,52955592
analytic,2000s,386,158,7,868,7141270,4281,1144,78,7266,67070891
analytic,2010s,1083,298,25,1678,14295950,4775,1420,85,8647,84731684
animal,1980s,113,45,1,584,3177602,2780,748,56,6430,46072214
animal,1990s,311,67,6,643,4529684,2912,766,63,6242,52955592
animal,2000s,519,127,12,868,7141270,3952,927,83,7266,67070891
animal,2010s,1584,217,36,1678,14295950,5988,1155,129,8647,84731684
